"table_name","column_name","data_type"
"app-store","price","numeric"
"app-store","size_bytes","text"
"app-store","review_count","text"
"app-store","rating","numeric"
"app-store","currency","text"
"app-store","primary_genre","text"
"app-store","name","text"
"app-store","content_rating","text"
"play_store","rating","numeric"
"play_store","install_count","text"
"play_store","genres","text"
"play_store","category","text"
"play_store","name","text"
"play_store","content_rating","text"
"play_store","type","text"
"play_store","price","text"
"play_store","review_count","integer"
"play_store","size","text"
